id,kind,title,workstream,tier,wave,upstream,downstream,estimate
E1,COMPONENT,Operator training track,E,T2,consumer,,,M
E2,COMPONENT,Developer training track,E,T2,consumer,,,M
F1,COMPONENT,Audit retention policy,F,T2,consumer,,,S
F2,COMPONENT,DR testing,F,T2,consumer,,,M
F3,COMPONENT,Vendor documentation companion project handoff,F,T2,consumer,,,S
F4,COMPONENT,Security review,F,T2,consumer,,,M
F5,COMPONENT,Scale evaluation,F,T2,consumer,,,M
F6,COMPONENT,Production runbook compilation,F,T2,consumer,,,S
V6-01,VIEW,Gateway architecture,—,T0,auth,,,S
V6-02,VIEW,Agent runtime architecture,—,T0,auth,,,S
V6-03,VIEW,Memory and data architecture,—,T1,auth,,,S
V6-04,VIEW,The Knowledge Base as a separate primitive,—,T1,auth,,,S
V6-05,VIEW,Observability architecture,—,T1,auth,,,S
V6-06,VIEW,Security and policy architecture,—,T0,auth,,,S
V6-07,VIEW,Eventing architecture (Knative + NATS JetStream),—,T1,auth,,,S
V6-08,VIEW,Capability registries and approved primitives,—,T1,auth,,,S
V6-09,VIEW,Multi-tenancy and namespacing,—,T1,auth,,,S
V6-10,VIEW,Platform self-management with HolmesGPT,—,T1,auth,,,S
V6-11,VIEW,Identity federation,—,T0,auth,,,S
V6-12,VIEW,CRD inventory,—,T0,auth,,,S
V6-13,VIEW,Versioning policy,—,T0,auth,,,S
ADR-0001,ADR,ARK as the agent operator,—,T1,auth,,,S
ADR-0002,ADR,OPA + Gatekeeper as the policy engine,—,T1,auth,,,S
ADR-0003,ADR,Envoy egress proxy as CNI-agnostic egress control,—,T1,auth,,,S
ADR-0004,ADR,NATS JetStream as the Knative broker backend,—,T1,auth,,,S
ADR-0005,ADR,Letta as the memory backend,—,T1,auth,,,S
ADR-0006,ADR,Python kopf operator for LiteLLM reconciliation,—,T0,auth,,,S
ADR-0007,ADR,LibreChat (configured) as the chat frontend,—,T1,auth,,,S
ADR-0008,ADR,Material for MkDocs as the documentation portal,—,T2,auth,,,S
ADR-0009,ADR,OpenSearch as the search and vector store,—,T1,auth,,,S
ADR-0010,ADR,GitHub Actions only for v1.0 CI/CD,—,T2,auth,,,S
ADR-0011,ADR,Three-layer testing with CLI orchestration,—,T1,auth,,,S
ADR-0012,ADR,HolmesGPT as a first-class Platform Agent,—,T1,auth,,,S
ADR-0013,ADR,Capability CRD model and CapabilitySet layering,—,T0,auth,,,S
ADR-0014,ADR,Postgres as primary storage; OpenSearch as retrieval optimization only,—,T1,auth,,,S
ADR-0015,ADR,Tempo + Langfuse correlated by trace_id,—,T1,auth,,,S
ADR-0016,ADR,Multi-tenancy via Kubernetes namespaces with RBAC + OPA + network enforcement,—,T1,auth,,,S
ADR-0017,ADR,Generalized approval system via Approval CRD + Argo Workflows + OPA elevation,—,T0,auth,,,S
ADR-0018,ADR,RBAC-as-floor / OPA-as-restrictor enforcement model platform-wide,—,T1,auth,,,S
ADR-0019,ADR,LangGraph as the supported v1.0 agent SDK with Langchain Deep Agents as the opinionated default,—,T0,auth,,,S
ADR-0020,ADR,"Initial MCP services set — GitHub, Google Drive, Context7, OpenSearch, Postgres, MongoDB, Web search + scrape",—,T0,auth,,,S
ADR-0021,ADR,Dashboards as namespaced Crossplane-composed GrafanaDashboard XRs,—,T1,auth,,,S
ADR-0022,ADR,Knowledge Base as a separate primitive,—,T1,auth,,,S
ADR-0023,ADR,Knative broker is in the architecture; sources are environment-specific by design,—,T1,auth,,,S
ADR-0024,ADR,Vendor documentation acquisition is a separate companion project,—,T2,auth,,,S
ADR-0025,ADR,Memory access modes per memory store,—,T1,auth,,,S
ADR-0026,ADR,Independent-cluster-install topology with no v1.0 federation,—,T2,auth,,,S
ADR-0027,ADR,Threat-model scope — v1.0 stance and B22 prerequisite,—,T1,auth,,,S
ADR-0028,ADR,Identity federation chain,—,T1,auth,,,S
ADR-0029,ADR,Required Keycloak JWT claim schema,—,T1,auth,,,S
ADR-0030,ADR,CRD and API versioning policy with per-component ownership,—,T0,auth,,,S
ADR-0031,ADR,CloudEvent top-level type taxonomy,—,T0,auth,,,S
ADR-0032,ADR,CapabilitySet overlay semantics,—,T1,auth,,,S
ADR-0033,ADR,Initial implementation targets — AWS (EKS) and GitHub,—,T1,auth,,,S
ADR-0034,ADR,"Audit pipeline — durable adapter, Postgres + S3 system of record, OpenSearch advisory only",—,T0,auth,,,S
ADR-0035,ADR,Dynamic log-level and trace-granularity toggle with staged restart for non-reloadable services,—,T1,auth,,,S
ADR-0036,ADR,Two-way Mattermost integration via Knative Eventing as the v1.0 chat-platform pattern,—,T2,auth,,,S
ADR-0037,ADR,Tenant onboarding via Headlamp + a TenantOnboarding XRD,—,T1,auth,,,S
ADR-0038,ADR,Policy simulators for OPA and RBAC,—,T1,auth,,,S
ADR-0039,ADR,Headlamp graphical editors for platform CRDs,—,T1,auth,,,S
ADR-0040,ADR,Kargo as the v1.0 promotion fabric for GitOps environments,—,T0,auth,,,S
ADR-0041,ADR,Substrate abstraction via Crossplane Compositions,—,T0,auth,,,S
